001000001001010416001   5380     1    N                                                   1433455425155433153332                                                                                                                                                                                  
001000002001010416001   5380     1    N                                                   1555555555555555554544                                                                                                                                                                                  
001000003001010416001   5380     1    N                                                   1544555455455344455553                                                                                                                                                                                  
001000004001010416001   5380     1    N                                                   1433444345355444543343                                                                                                                                                                                  
001000005001010416001   5380     1    N                                                   1554554555545444555554                                                                                                                                                                                  
001000006001010416001   5380     1    N                                                   1544444445433444543444                                                                                                                                                                                  
001000007001010416001   5380     1    N                                                   1444334445544553343555                                                                                                                                                                                  
001000008001010416001   5380     1    N                                                   1555555555555555555555                                                                                                                                                                                  
001000009001010416001   5380     1    N                                                   1555555555555534444445                                                                                                                                                                                  
001000010001010416001   5380     1    N                                                   1434333334444433544333                                                                                                                                                                                  
001000011001010416001   5380     1    N                                                   1444444444544553353552                                                                                                                                                                                  

