001000001001010416001   5380     1    N                                                   55554555545554                                                                                                                                                                                          
001000002001010416001   5380     1    N                                                   55555555445444                                                                                                                                                                                          
001000003001010416001   5380     1    N                                                   54555555555554                                                                                                                                                                                          
001000004001010416001   5380     1    N                                                   55555555555515                                                                                                                                                                                          
001000005001010416001   5380     1    N                                                   55555555555444                                                                                                                                                                                          
001000006001010416001   5380     1    N                                                   55555555555555                                                                                                                                                                                          
001000007001010416001   5380     1    N                                                   55555455545424                                                                                                                                                                                          
001000008001010416001   5380     1    N                                                   55555455545345                                                                                                                                                                                          
001000009001010416001   5380     1    N                                                   55555555555534                                                                                                                                                                                          
001000010001010416001   5380     1    N                                                   55555555555444                                                                                                                                                                                          

