001000001001010416001   5380     1    N                                             11281 555555553553 444433444                                                                                                                                                                                  
001000002001010416001   5380     1    N                                                   5554555545545455535                                                                                                                                                                                     
001000003001010416001   5380     1    N                                             11281 4342433324422344432344                                                                                                                                                                                  
001000004001010416001   5380     1    N                                              112815555555555555555555555                                                                                                                                                                                  
001000005001010416001   5380     1    N                                             11280 5555555555555555555555                                                                                                                                                                                  
001000006001010416001   5380     1    N                                             11281 5555555544554444444455                                                                                                                                                                                  
001000007001010416001   5380     1    N                                                   55555555555445554545                                                                                                                                                                                    
001000008001010416001   5380     1    N                                             11281 5555555555555555553455                                                                                                                                                                                  
001000009001010416001   5380     1    N                                             11281 4455434554543455543444                                                                                                                                                                                  
001000010001010416001   5380     1    N                                                   4544555555535455555455                                                                                                                                                                                  
001000011001010416001   5380     1    N                                             11281 5555555555554555555354                                                                                                                                                                                  
001000012001010416001   5380     1    N                                             10219 3444334432443344431354                                                                                                                                                                                  
001000013001010416001   5380     1    N                                   11281           5555535555553344455222                                                                                                                                                                                  
001000014001010416001   5380     1    N                                             11281 4444444444444444443333                                                                                                                                                                                  
001000015001010416001   5380     1    N                                             11281 5555555555555355545435                                                                                                                                                                                  

