001000001001010416001   5380     1    N                                                   33444334344212444234154                                                                                                                                                                                 
001000002001010416001   5380     1    N                                                   13231111214325551113555                                                                                                                                                                                 
001000003001010416001   5380     1    N                                                   43445333444323443344433                                                                                                                                                                                 
001000004001010416001   5380     1    N                                                   33333333333433333332433                                                                                                                                                                                 
001000005001010416001   5380     1    N                                                   45445333435443355433444                                                                                                                                                                                 
001000006001010416001   5380     1    N                                                   54544444444545545444555                                                                                                                                                                                 
001000007001010416001   5380     1    N                                                   44444343353443444455343                                                                                                                                                                                 
001000008001010416001   5380     1    N                                                   44444344444333554444555                                                                                                                                                                                 
001000009001010416001   5380     1    N                                                   55544343444434554543445                                                                                                                                                                                 
001000010001010416001   5380     1    N                                                   54444444444543444445444                                                                                                                                                                                 
001000011001010416001   5380     1    N                                                   55555555555545 55455455                                                                                                                                                                                 
001000012001010416001   5380     1    N                                                   44544435444344344333545                                                                                                                                                                                 
001000013001010416001   5380     1    N                                                   44444334434444443444534                                                                                                                                                                                 
001000014001010416001   5380     1    N                                                   22232233222433333333554                                                                                                                                                                                 
001000015001010416001   5380     1    N                                                   55555555555455555555555                                                                                                                                                                                 
001000016001010416001   5380     1    N                                                   45454345445435555444454                                                                                                                                                                                 
001000017001010416001   5380     1    N                                                   55555555455345555544355                                                                                                                                                                                 
001000018001010416001   5380     1    N                                                   44444554444444455353555                                                                                                                                                                                 
001000019001010416001   5380     1    N                                                   44434444443343444444444                                                                                                                                                                                 

