001000001001010416001   5380     1    N                                             9801  4455555555334554455344                                                                                                                                                                                  
001000002001010416001   5380     1    N                                             9801  4554555555334445533244                                                                                                                                                                                  
001000003001010416001   5380     1    N                                             9801  4554554444334454343444                                                                                                                                                                                  
001000004001010416001   5380     1    N                                   9801            5455555555445555544445                                                                                                                                                                                  
001000005001010416001   5380     1    N                                             9801  4444444444345555444454                                                                                                                                                                                  
001000006001010416001   5380     1    N                                             9801  4444555555214445422122                                                                                                                                                                                  
001000007001010416001   5380     1    N                                             9801  5555555555455555555555                                                                                                                                                                                  
001000008001010416001   5380     1    N                                                   5555555555555555555555                                                                                                                                                                                  
001000009001010416001   5380     1    N                                                   4445555555555555545555                                                                                                                                                                                  
001000010001010416001   5380     1    N                                                   5555555555445555544355                                                                                                                                                                                  
001000011001010416001   5380     1    N                                             9801  4455555555544443554555                                                                                                                                                                                  
001000012001010416001   5380     1    N                                             9801  5554555445345555544354                                                                                                                                                                                  
001000013001010416001   5380     1    N                                             9801  5555555555435555555354                                                                                                                                                                                  
001000014001010416001   5380     1    N                                                   4555445555334444554355                                                                                                                                                                                  

