001000001001010416001   5380     1    N                                              102193344333434433344333333                                                                                                                                                                                  
001000002001010416001   5380     1    N                                   10219           5555523433513455554123                                                                                                                                                                                  
001000003001010416001   5380     1    N                                             10219 5555555555555555555555                                                                                                                                                                                  
001000004001010416001   5380     1    N                                   10219           55555 3433444555555443                                                                                                                                                                                  
001000005001010416001   5380     1    N                                             10219 4455434444444444433434                                                                                                                                                                                  
001000006001010416001   5380     1    N                                             10219 3455553434543554334                                                                                                                                                                                     
001000007001010416001   5380     1    N                                             10219 5554544544521454523244                                                                                                                                                                                  
001000008001010416001   5380     1    N                                                   4444445544544555544444                                                                                                                                                                                  
001000009001010416001   5380     1    N                                             10219 5555555555555555555555                                                                                                                                                                                  
001000010001010416001   5380     1    N                                             10219 4444544544444445544444                                                                                                                                                                                  
001000011001010416001   5380     1    N                                             10129 4454544544333344433344                                                                                                                                                                                  
001000012001010416001   5380     1    N                                             10219 4444444444444444444444                                                                                                                                                                                  
001000013001010416001   5380     1    N                                                   4555555545545455554545                                                                                                                                                                                  
001000014001010416001   5380     1    N                                             10219 5455534424434454244243                                                                                                                                                                                  
001000015001010416001   5380     1    N                                                   5555555555555555555555                                                                                                                                                                                  

