001000001001010416001   5380     1    N                                                   5555544455455444334444444                                                                                                                                                                               
001000002001010416001   5380     1    N                                                   5544544455543454333554435                                                                                                                                                                               
001000003001010416001   5380     1    N                                       9     11279 5554545555555544444444434                                                                                                                                                                               
001000004001010416001   5380     1    N                          F                  11279 4444544444454444444444455                                                                                                                                                                               
001000005001010416001   5380     1    N                                                   4354554444455544445545544                                                                                                                                                                               
001000006001010416001   5380     1    N                                                   3444443434445544344425555                                                                                                                                                                               
001000007001010416001   5380     1    N                                             11279 5443442343242544342224545                                                                                                                                                                               
001000008001010416001   5380     1    N                                             11279 5555543444432244444444554                                                                                                                                                                               
001000009001010416001   5380     1    N                                             11279 4444443333333333333333444                                                                                                                                                                               
001000010001010416001   5380     1    N                                             11279 5434344443455533443554434                                                                                                                                                                               
001000011001010416001   5380     1    N                                             11279 5555554555554545455545545                                                                                                                                                                               
001000012001010416001   5380     1    N                                                   5454444455455445555535545                                                                                                                                                                               
001000013001010416001   5380     1    N                                                   5555554445534344444444544                                                                                                                                                                               
001000014001010416001   5380     1    N                                                   5544334445454454434555455                                                                                                                                                                               
001000015001010416001   5380     1    N                                             11279 5555555555555455554 454555                                                                                                                                                                              
001000016001010416001   5380     1    N                                                   5554554455555445535444545                                                                                                                                                                               
001000017001010416001   5380     1    N                                   101172462 11279 5555555555553444555523555                                                                                                                                                                               
001000018001010416001   5380     1    N                                             11279 5555545535554444342444554                                                                                                                                                                               
001000019001010416001   5380     1    N                                             11279 4444443344445554445433344                                                                                                                                                                               
001000020001010416001   5380     1    N                                                   5555553344354455454434444                                                                                                                                                                               
001000021001010416001   5380     1    N                                             11279 5454534444333343*34444444                                                                                                                                                                               
001000022001010416001   5380     1    N                                             11279 4444443444444344444444233                                                                                                                                                                               
001000023001010416001   5380     1    N                                             11279 5554554455524235444453344                                                                                                                                                                               
001000024001010416001   5380     1    N                                                   5454454545445445454555445                                                                                                                                                                               
001000025001010416001   5380     1    N                                                   5554543344544444334334443                                                                                                                                                                               

